292
274,100
36,256
100,256
2,292
274,36
1,292
265,100
274,164
258,292:258
9,292
274,292
100,292
137,292
10,292
164,256
292,8
289,36
292,256
36,268
265,36
292,272:272
292,164
265,292
268,292
289,268
289,292
265,164
36,292
73,292
17,292
18,292
292,16
146,292
82,292
292,128
292,64
9,274,100
137,274,36
1,2,292
265,274,100
265,100,256
9,265,100
137,274,100
1,9,292
9,274,36
1,292,8
1,10,292
137,265,100
9,274,164
18,292,258:258
146,292,258:258
73,258,292:258
9,100,256
2,292,8
1,73,292
2,292,16
17,2,292
2,292,18
2,146,292
73,2,292
137,36,256
9,289,36
9,2,292
9,292,8
137,274,164
2,292,10
289,2,292
274,100,36
9,258,292:258
9,36,256
10,292,8
289,292,8
10,292,16
17,10,292
10,292,18
10,146,292
274,36,256
9,164,256
73,289,292
289,10,292
36,100,256
1,292,16
1,17,292
1,18,292
1,146,292
73,292,8
9,289,268
1,289,268
9,10,292
1,289,292
289,2,268
73,292,137
73,10,292
274,100,256
9,292,137
137,164,256
137,100,256
289,10,268
9,73,292
289,268,8
9,100,292
9,289,292
274,164,256
73,292,272:272
137,100,292
292,8,16
17,292,8
18,292,8
146,292,8
274,36,164
100,164,256
36,164,256
73,100,256
18,100,256
146,100,256
82,100,256
100,128,256
100,64,256
9,36,292
9,36,268
265,274,36
137,292,164
265,36,256
9,292,272:272
274,100,164
9,265,36
73,36,292
137,36,292
36,100,292
73,289,36
289,18,36
289,146,36
36,292,256
292,164,256
274,164,292
73,100,292
1,265,292
73,265,100
265,18,100
265,146,100
265,82,100
265,100,128
265,100,64
137,265,164
9,292,256
137,265,36
73,274,100
18,100,274
146,100,274
82,100,274
274,100,128
274,100,64
73,292,164
137,274,292
18,292,272:272
146,292,272:272
274,36,292
73,274,164
18,164,274
146,164,274
82,164,274
274,164,128
274,164,64
9,265,292
73,274,292
137,18,292
137,146,292
137,82,292
137,292,64
137,292,128
9,274,292
265,36,100
73,36,268
18,268,36
146,268,36
265,10,292
265,100,164
9,265,164
100,292,256
265,2,292
9,292,164
9,268,292
73,268,292
